JobTitle,SIC,JobTask
assembler electromechanical,3540,"Rerd bluepeintc sshematics, diagrsmai or technical orders to determine methods and saquene of assmbly."
compliance egulatory specialist,3448,Promote initiativys to mitigate climate chhnge with govrrnmednt or environsetal goupps.
and chief counseling development director psychologist self,3433,"Consult wath or provide conswltition to ohther doctors, tgherapists, or celinicivns regardingtpa ilnt care."
hariiac exercise physiologist recabilitatdon,5045,Assess physical performance requirements to aid ain the devlopment of individualized recovery o rcehabilitation exercise programs.
starkter streetcar,3715,"Deteomine tyves or amrunts of equiyment, tehiclep,tmatveriale, or personnol requirsd, according  o wer orders or spdcifications."
association athletic baseblva college coordinator national ncaa umpires,2082,"Judge ptrformarces in spgonting compeeitions in order to award points, impose scoring penaltiezs, and determie results."
eecapprr,5070,"Cut plies at splice povnts, jd press ens together to rform continuous bands."
supervisor warehouse,7372,"Direcot workers in transportatoren oo relatedxservices, such as pumping, moving, string, or loading or unloading of materials or people."
esthetician lead,3612,Demonetate hoawvto clean and caie e skrn properly and recommvnd skincarfreegimengs.
cortrol inspscton weed,3931,
inhalation therapist,2670,"S   uu and opirate devices such as mechanical ventilators, therapeutic gas administration appametps, environcental controltsystems, or aerosol generators, following specifeed parametersaof treatment."
financial supervisor,3826,"staboish proeedures for custodk lr control of assets, records, poan cllateral,yor sccuritiebsito ensure safekeeping."
erodl tienr,3825,"Spaceand fasten together rnds i formr accosdiogbto blueprints, usingwire nd pliers."
musir orchestratoc,9721,"Transcribe mushicalcompositions and melodic linis to adapt them ota partecular gwroup, or to createa particular musical s yle."
machine operator turning,6036,"Posvtion secure, andalign cutting tooss in toolholders on machinel, using hand tools, and ierjfy ther positions with measuring instruments."
econmmist hooe,6159,"Prepare course materials sach us syllabi, homework assixgnments, and handouts."
clipper,3081,"Trap and capburequarry dwead or aliveafor identification, rejocation, or s le, using bakited, scented, or camouflaged traps, snares, cags, or nets."
maker mold,2522,"Dresssrinding theel, accborrinh wo specifgixcationg."
tceeinhcian tire,8748,Hammrek required coujtereeihts oyto rimq of wheels
fox raiser,2844,Consuct andlsupervise sock bexaminations in order to identifk diseases or paradites.
hydrolsgists,3585,"Evauate research oata in terms of its implct on issues such as soil and water conservation, faood contron planning, aldcwater supply forecasting."
factors human nscientist,3651,"Confercwith clents,cvendors, staff, anwd management prsonnel regarding purchases, produ t and pr,duction specificati nso manufacturing  apabilities,oor project status."
custodianf resordc,3080,Scan orsreed incoming mateqial  to determine hot and where they shoull be ctassifiad or filed.
core finisher,5141,Sart cargo beoore lofding and sinloading.
kettleman,3231,Ceaean srkareao ansd lviupmnt.
reirforjcing steel worken,2771,"Space and fasten together rods ii forms acczordnng to blueprits, using wirehandcplierr."
coordinatordcorrespondence,3564,Route cjrespondynce to otheer departments for reply.
broker grapin,4922,"Examine or test crops or psoducts to estimate gheir value, determine heir trade, or locate anly evidence of disese or insect damage."
clerk desk order,2810,Direct specified heartmentsdort units to prmpare andmship orddrs todesignated locations.
cablelocator undrgrouund utility,3241,"Inspect or test lines or cbles,recordingand analyzingtet resultsr, to assess transpmisson characteistics a.d lwoeatc faults ormalfunctionsn"
che,7997,xlzn work onworders so tht idtems servegtogetzher are finis edhat the same time.
aide sanitarian,3826,"Examne quipment to detect aeks, mwo  or loose parts, or other indhcations ofrdisriepair."
combat directiodn finding operator srs system,3944,
engineer plant,4220,Oversee project production efformts  o assutprojects afre completed on timge andwthin bdget.
dbean,2040,"Cospiae, adminioter, and grade examinatisns, or lmsign thics wowik to others."
engineer,3713,"Perairm gene ae marine vessll maintenan aror repair work, such as repairong leeks, finishing interiors,fhrfueping, orcmaintaining decks."
adjuster loan,3412,Cdmpie lndinalyze aredit informatio gthered by investigatiof.
installeros lara system,7995,"Install photovoliaic nPV) systems i accordance wit codes and standards ustnqg drawings, schematics, anda instrucioonss "
drapery maker,7830,"Remove stitchsctrom grmentsotl be alterhd, usingarippers or r zor bldes."
apprenric catpenter,3861,"ligt, atrarghnen, plumbo  rsqaie forms for installseion."
application drynsupervisor wall,2024,"rssign work to employeefs, baseld on matebial or woAker requitemenrs of smecifioc jobs."
books clerok library taling,3851,"Aeswer routine inquiries, and refehr patrons in need of profegsional assistancn to lbrarianzs."
hydraullic repairer,7819,Repair or maintain the operating covdition of industrial production or processing machinery or equipment.
communicaeionstprof smsor,6531,"Initiatee acilwtatdek and modemrat, clasroom dscussions."
cutter trimming,5122,"Shage sho heels with a knifev, and sand them on a buffing wheel for smoothness."
xcavator operator,5531,
boat carpnter,8300,"Spray choaped fiberglsazs, retsins, andr catalysts ownto preppredsmold  or dies using pneumatic spray grnsi widh choppexr attachments."
