Title: Prostate Cancer Incidence in White Males 1994 - 2008,,,,,,,,,,,,,
"Description: ICD-O-3 site codes C619, SEER 9 Registries Databases, November 2011 submission",,,,,,,,,,,,,
Start Year: 1995,,,,,,,,,,,,,
Start Age: 45,,,,,,,,,,,,,
Interval (Years): 2,,,,,,,,,,,,,
70,585991,105,615604,134,644260,151,661700,154,672576,168,684726,187,669548
150,576876,181,570965,188,600719,209,634112,267,654578,269,667648,324,681340
288,498517,377,591921,410,581277,449,595853,459,625830,461,648167,589,662639
405,450048,515,477088,680,570367,687,570205,683,587196,726,618810,852,642630
549,413244,707,450245,816,476562,975,558331,985,558352,1027,576886,1149,609902
729,356100,978,403341,1108,438102,1240,467931,1355,544610,1297,547034,1540,567474
1009,330052,1069,345425,1377,389745,1549,422771,1501,454066,1806,530593,1813,535768
1144,310008,1294,322359,1516,333994,1803,375783,1897,407342,1912,439927,2442,516205
1402,282402,1527,291340,1719,302328,1772,318522,2010,360972,2076,392646,2450,427179
1726,276721,1651,271247,1911,277256,2048,288074,1900,304212,2248,346059,2638,378372
2042,276869,2028,259028,2112,253349,2197,263023,2183,275649,2280,292113,2762,333720
2194,265987,2272,261026,2331,246943,2281,241290,2155,251442,2216,263956,2529,280586
2331,246384,2279,248188,2399,244798,2361,233572,2072,229278,2076,239886,2310,252224
2399,233382,2324,228508,2458,230475,2381,229804,2032,220631,2046,217656,2133,228199
2294,222026,2250,218500,2433,217326,2356,215894,2089,214540,1940,207255,2059,205066
1925,194599,2108,203996,2201,201246,2134,199884,1805,199569,1805,199317,1706,193288
1569,162592,1673,172622,1820,182034,1817,181915,1594,181485,1584,182415,1534,182791
1141,137074,1298,142413,1375,152841,1337,160317,1225,161855,1160,162615,1117,164271
897,110366,959,117611,984,123152,1060,131850,1020,138656,982,141034,914,142714
622,82957,694,90442,791,96170,795,102362,730,109872,746,116565,700,119334
