row,JobTitle,SIC,JobTask,SOC1,Prob1,SOC2,Prob2,SOC3,Prob3,SOC4,Prob4,SOC5,Prob5,SOC6,Prob6,SOC7,Prob7,SOC8,Prob8,SOC9,Prob9,SOC10,Prob10
1,JobTitle-1,SIC1,JobTask1,27-1023,0.9354441000442365,35-3022,0.930300597785001,27-4012,0.6014723362083826,25-1199,0.3668276570722977,47-2042,0.36164314200854475,47-2152,0.3488996105342037,15-2011,0.33698791008682616,39-3011,0.2628014460917343,29-9099,0.25789102936835284,25-1054,0.0172198668595559
2,JobTitle-2,SIC2,JobTask2,45-4022,0.9304486325032787,55-2012,0.8285013035117773,19-4092,0.6538050470880886,55-1014,0.6143896229502521,51-2011,0.5845375573351925,41-9022,0.5246549652783972,49-2011,0.4035022470644589,47-3014,0.2161976964553577,25-3099,0.14467330731454298,25-1052,0.1346675740762231
3,JobTitle-3,SIC3,JobTask3,43-5111,0.9860416197330113,19-1031,0.8293879074243692,29-2034,0.8040223935650961,41-9021,0.7335673266045916,55-2011,0.6460076573934996,17-2121,0.6033180321535985,51-9192,0.47316594870531237,19-1041,0.40900314595556697,31-9096,0.37534077271200883,29-1067,0.3465766986463388
4,JobTitle-4,SIC4,JobTask4,33-9091,0.9150181393716121,27-1029,0.7271745253438561,47-2072,0.6930581072055507,43-4061,0.651692614348455,21-1094,0.44520944512525507,53-6031,0.29393506073382913,25-1065,0.22792067697174334,19-4099,0.2099810521344201,47-4071,0.16757208853023986,37-2021,0.14729716932774095
5,JobTitle-5,SIC5,JobTask5,23-1012,0.84870767918525,47-4099,0.8373694806385413,29-2011,0.7456882852961121,53-4012,0.6815865981820367,43-6011,0.5201349919198127,47-2041,0.4277583313832366,11-9031,0.42491088123929843,55-1015,0.26157835117782247,47-5031,0.18165496895973177,47-2131,0.12368063256134154
6,JobTitle-6,SIC6,JobTask6,47-5012,0.9761879377886854,29-1171,0.8841766401081008,53-7033,0.8548181506029585,27-3041,0.6445798288357188,31-9099,0.5799368479008318,29-2056,0.5367050269693064,43-4171,0.39900933630847646,43-9011,0.2633930072413898,47-4031,0.02630368451168119,17-1022,0.008379040044478092
7,JobTitle-7,SIC7,JobTask7,41-1011,0.8810316227477624,53-5022,0.7467757524171889,49-2094,0.6440532257774526,47-4011,0.6328440583017633,39-1011,0.6171898176352635,53-3022,0.372400353074848,25-3099,0.23980797679004673,31-1014,0.18843568951704714,47-2221,0.04610454178109047,27-3043,0.02903505607730883
8,JobTitle-8,SIC8,JobTask8,11-3011,0.9543276419877956,17-1011,0.7193909950690426,49-9044,0.6653703224978375,21-1023,0.542427622993146,47-5071,0.40235023180990104,49-3092,0.3090261697346086,43-9011,0.2483374955493315,11-9151,0.1127773401866321,47-3016,0.09450460077095613,11-9111,0.07370848580255862
9,JobTitle-9,SIC9,JobTask9,33-3051,0.9136187425674163,29-1064,0.8490774241661179,13-2011,0.8403352654430493,43-5081,0.7636904374630035,21-1013,0.5580161675373818,51-9061,0.4831099913655359,19-3093,0.21444012742103635,47-2041,0.14145346366198108,29-2021,0.12652716698355826,53-2011,0.08489893127639703
10,JobTitle-10,SIC10,JobTask10,43-2099,0.9221048824196985,45-1011,0.7003010790089382,49-9097,0.6997823139797112,29-1122,0.6530420684329635,13-1161,0.5624001943214427,43-9051,0.5024848982715353,51-6062,0.46470813156343527,21-1093,0.4000740511955614,53-2021,0.27587114338806784,53-7199,0.1656593945403766
